6)	ECE 20200
MWF	07:30 - 08:20 
TR	07:30 - 08:20 

5)	ECE 27000
MWF	16:30 - 17:20 
TR	07:30 - 08:20 

2)	MA 26600
TR	07:30 - 08:20 
TR	08:30 - 09:20 
TR	09:30 - 10:20 
TR	10:30 - 11:20 
TR	11:30 - 12:20 
TR	12:30 - 13:20 
TR	13:30 - 14:20 
TR	14:30 - 15:20 
TR	15:30 - 16:20 
TR	16:30 - 17:20 

1)	MA 26500
MWF	08:30 - 09:20 
MWF	09:30 - 10:20 
MWF	10:30 - 11:20 
MWF	11:30 - 12:20 
MWF	12:30 - 13:20 
MWF	13:30 - 14:20 
MWF	14:30 - 15:20 
MWF	15:30 - 16:20 
MWF	16:30 - 17:20 
